0,1,2
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Đợt con được vài tháng, tôi bị Covid phải cách ly hai mẹ con, chồng hứa sẽ chăm sóc con nhưng được khoảng hai ngày lại tiếp tục đi công tác, để mặc con cho bà ngoại chăm. Ngay cả khi ở Hà Nội, do cơ quan anh ở xa nên thường xuyên đi sớm về muộn, tôi xác định việc chăm con, đưa đón con đều một mình gánh vác. Hiện tôi rất rối, một phần không muốn cản trở đam mê của chồng, một phần không thể chịu đựng việc gia đình thường xuyên xa cách. Tôi không biết có thể chịu đựng thêm được bao lâu."
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Nhiều lần tôi nghĩ đến trường hợp xấu nhất là ly hôn để giải tỏa tâm lý cho chính mình dù vợ chồng vẫn còn rất yêu nhau. Mỗi lần anh về nhà, tôi đều sợ hãi đến ngày anh đi và phải trốn vào một góc để khóc. Anh hứa sẽ xin cơ quan không đi công tác nữa nhưng tôi biết việc đó là không thể vì đó là tính chất công việc, đã làm trong môi trường này thì phải chấp nhận. Liệu tôi có phải là người vợ quá ích kỷ?"
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,Ngọc Bích
Mới nhất,https://vnexpress.net/chong-dat-cong-viec-tren-tat-ca-4685552.html,"Độc giả gọi vào số 024 7300 8899 (máy lẻ 4529) trong giờ hành chính để được hỗ trợ, giải đáp thắc mắc"
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,"Chuyên gia pháp y kiêm nhà thiết kế 3D Cícero Moraes cùng các đồng nghiệp phục dựng khuôn mặt một người Andean từ Bolivia, sống trong thời tiền Tây Ban Nha (thời kỳ trước khi các nhà thám hiểm Tây Ban Nha đến Trung Mỹ và Nam Mỹ), IFL Science hôm 5/12 đưa tin. Người này có một khiếm khuyết bẩm sinh hiếm gặp gọi là dị tật dính khớp sọ sớm. Dị tật này ảnh hưởng đến sự hình thành và hợp nhất của xương sọ, khiến hộp sọ biến dạng và thường dẫn đến suy giảm nhận thức, thị lực và các triệu chứng suy nhược khác."
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,"Hộp sọ đang được bảo quản tại Bảo tàng Khảo cổ Quốc gia Bolivia và chưa thể xác định niên đại chính xác. Tuy nhiên, nhiều khả năng chủ nhân hộp sọ thuộc nền văn minh Tiwanaku hoặc Inca. Tiwanaku hình thành vào thế kỷ 2 và biến mất cách đây khoảng 1.000 năm. Trong khi đó, nền văn minh Inca nổi tiếng hơn, phát triển từ khoảng thế kỷ 13 đến thế kỷ 16."
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,"Nhóm nghiên cứu cho biết, hình thái của hộp sọ khác biệt đáng kể so với mức trung bình. Do đó, họ đã tham khảo ý kiến của 6 bác sĩ phẫu thuật biến dạng khuôn mặt về dị tật dính khớp sọ sớm. Đây là thuật ngữ chung gồm nhiều hội chứng như hội chứng Crouzon, hội chứng Apert và hội chứng Pfeiffer."
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,"Do thiếu những phần xương khác trên cơ thể, nhóm nghiên cứu không thể biết chính xác chủ nhân của hộp sọ mắc hội chứng nào. Họ cũng không thể xác định giới tính của người này chỉ dựa vào hộp sọ, dù sự phát triển răng cho thấy người này chết ở độ tuổi 17 - 21. Do đó, họ quyết định tạo ra một khuôn mặt trung tính, sử dụng các nghiên cứu thống kê dựa trên hình chụp cắt lớp vi tính để suy đoán diện mạo thực của đối tượng."
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,"Moraes từng sử dụng phương pháp này để tái tạo khuôn mặt người cổ đại và các nhân vật lịch sử, nhưng dự án mới đặt ra nhiều thách thức do hình thái bất thường của hộp sọ. Ví dụ, cấu trúc hộp sọ khiến mắt lồi ra đáng kể, hình dạng của vùng nội sọ - nơi chứa não - cũng khác biệt lớn so với các mô hình bình thường, dẫn đến khuôn mặt nhô lên nhiều. Điều thú vị là hộp sọ có dấu hiệu trải qua một số loại phẫu thuật và bệnh nhân dường như đã tiếp tục sống được một thời gian ngắn."
Mới nhất,https://vnexpress.net/phuc-dung-khuon-mat-nguoi-co-dai-bi-bien-dang-hop-so-4685327.html,Thu Thảo (Theo IFL Science)
